TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea
100.68860184042978,1.0042532123918024,3.429033073677664,4.5507454008463564e-08,2.525686075824512e-07,9.635943694938147e-10,8.884413141572221e-10,9.224336262214647e-10,6.725386713290089e-10,1.3551955277976052e-08,6.508655399747427e+18,8.770647650536733e-10,8.843206972527583e-10,8.824508055780593e-10,6.492766499630866e-10,1.3789013167356782e-08,2.7194714971072056e+18,5.879438e-12
-21.03567802461444,1.0646874523283196,4.012176411842564,4.5875902854426495e-08,2.7388393689760515e-07,8.837030766901534e-10,8.875726225662915e-10,9.033558291212155e-10,6.755224829456806e-10,1.3168158409248725e-08,6.447329445088331e+18,8.87530692224697e-10,9.176315891900727e-10,9.354517635297744e-10,7.083085942868716e-10,1.3694607937521161e-08,2.7818033264264166e+18,6.1960935000000005e-12
-24.19332534572736,0.9139925699244932,4.654365328757296,4.502778455436509e-08,2.6496527708471927e-07,9.078538461403551e-10,9.223178648157932e-10,8.752740217178092e-10,6.360688702883988e-10,1.4211634504951908e-08,6.473507926545957e+18,9.485732289374632e-10,9.002760046204006e-10,9.862210166677824e-10,6.847463745727965e-10,1.3945087321329489e-08,2.8829244752681324e+18,7.3082515e-12
78.98803070191414,1.0468580452418008,0.6970275614613759,4.6304651248879014e-08,2.752743093962108e-07,8.9727201360839e-10,8.945525172713101e-10,9.372877045706848e-10,6.906635581192026e-10,1.4490795853307191e-08,6.372771992084151e+18,8.939156928045211e-10,9.187203868827937e-10,9.077086071808303e-10,6.527621745364877e-10,1.328977019156994e-08,2.911931717597693e+18,2.2068735000000003e-12
-43.46585578168257,1.0825792577784883,3.3767381952098403,4.655958066578711e-08,2.605921223585863e-07,8.896250212396342e-10,9.118808157053411e-10,8.871719829928886e-10,6.135111623948018e-10,1.4563369245023938e-08,6.500966039535862e+18,9.53386574769191e-10,9.119221887436507e-10,9.57601609266774e-10,6.272125910957167e-10,1.431712564226444e-08,2.82713212802304e+18,5.7897685e-12
4.188690330448729,1.0734097103821234,0.4029976677743827,4.7477976240565644e-08,2.568608513473049e-07,8.91083377421827e-10,9.282187152881201e-10,8.99559860529341e-10,6.629635406145066e-10,1.3835435814128924e-08,6.136159741821984e+18,9.205922722870795e-10,9.161968102346155e-10,9.36262762484868e-10,6.756921515389536e-10,1.3752244388533864e-08,2.74776081805909e+18,1.9470555e-12
76.10829583399652,0.9368954046335212,3.4640453892950567,4.739913534101414e-08,2.626152828527652e-07,8.461872151360942e-10,8.782457946633206e-10,9.415416705690248e-10,6.873474642060096e-10,1.3907923548809772e-08,6.055848382563785e+18,9.626098957501998e-10,9.226420135773715e-10,9.142477290397367e-10,6.491125858454382e-10,1.4257081875455157e-08,2.935605754924232e+18,6.374951e-12
28.842239513480948,0.9696537527330954,4.734777954101331,4.709306191073361e-08,2.596619584362087e-07,9.191945127734407e-10,8.58020578033555e-10,9.062341095082621e-10,6.811230085480011e-10,1.4259514370364371e-08,6.415564024623403e+18,9.103924579041977e-10,9.507195252450515e-10,9.02776017275065e-10,6.189062290935937e-10,1.3986899866774824e-08,2.790976691343841e+18,8.002983000000001e-12
53.550214397346565,1.0454453309659515,4.840174994616986,4.5400548963201927e-08,2.5294113668563096e-07,8.920226188388851e-10,8.201690269682009e-10,9.391104313201506e-10,6.684245120919622e-10,1.3820901980523341e-08,6.505812903250359e+18,9.288851033113143e-10,8.802907001257534e-10,9.323052340353803e-10,6.494602888105882e-10,1.2845410384348089e-08,2.908408412565247e+18,7.547642e-12
-11.809690004774076,0.9139230268924088,0.3975308166862226,4.601463774897856e-08,2.4920999063265564e-07,8.819408613116686e-10,9.320872532313455e-10,8.873486545656405e-10,6.426925645483537e-10,1.4251482006492411e-08,6.407255681151592e+18,9.157755082012823e-10,8.869855474085224e-10,9.376239677362352e-10,6.594210019322327e-10,1.3292875678757637e-08,2.769165627683621e+18,1.9647895000000003e-12
59.10243975919494,0.9870953740260432,4.049630519356101,4.848828669934403e-08,2.3820779981021285e-07,9.105927328341879e-10,9.077775956024736e-10,8.685046292192877e-10,6.238071795363307e-10,1.4748034209130177e-08,6.338383404994677e+18,8.888675633941122e-10,9.770512531034434e-10,9.281107625555379e-10,6.559323278334023e-10,1.351409320867188e-08,2.675538977211846e+18,7.9551105e-12
69.7643144417918,1.052659099968574,1.2862695272796694,4.5987328356120556e-08,2.4873870114680716e-07,8.894412720053071e-10,8.604801242669334e-10,8.921546628185864e-10,6.424451126185597e-10,1.4057211751324545e-08,6.620075940978421e+18,8.923794114603251e-10,9.13710428590651e-10,9.460989900446075e-10,6.553238524160524e-10,1.3336463564044772e-08,2.9186123422852296e+18,3.0976785e-12
76.38428276889519,0.9683769090888508,4.84664023473583,4.7463423327766174e-08,2.4760403565182324e-07,8.710631623889432e-10,8.82932358723151e-10,9.104200557345741e-10,6.577256211743324e-10,1.3660891061854828e-08,6.671171894971703e+18,9.379653449222401e-10,8.69440652581717e-10,8.74897948476512e-10,6.380076471877275e-10,1.361373015490574e-08,2.789498381379747e+18,8.6249975e-12
35.86371143025147,1.0816338319893208,2.8095958261220044,4.665529113129055e-08,2.484379194138689e-07,8.98186019133976e-10,8.845113310162527e-10,8.987225593990198e-10,6.537004969941397e-10,1.4718798817862872e-08,6.582630080018226e+18,9.338331768842695e-10,9.1188853304428e-10,8.894578214064327e-10,6.268963600334193e-10,1.4435788662879074e-08,2.9101473747938847e+18,5.2599065e-12
0.0689935853024223,0.984331296408524,4.103299019911424,4.688676101351018e-08,2.5157075851416643e-07,9.37093431390092e-10,9.357550514256081e-10,8.653771816505293e-10,6.520971110724125e-10,1.4291535458535572e-08,6.320295402463938e+18,9.474072770133583e-10,9.286182695648415e-10,9.286624794678511e-10,6.568384561209311e-10,1.39839382569797e-08,2.821308959922828e+18,7.2405860000000005e-12
